2024-10-03 18:57:44.398 INFO Mqtt: MQTT device opened 192.168.20.90 1883 with keepalive=30
2024-10-03 18:57:44.420 INFO Discovery: Discovery publish for 14 messages
2024-10-03 18:57:44.500 INFO Client: Connecting to 192.168.60.135:10000
2024-10-03 18:57:44.521 INFO Client: Connected
2024-10-03 18:57:44.522 INFO Bridge: on_open
2024-10-03 18:57:52.949 INFO Bridge: Publish 'alarm/panel/chime/state' = {"status": "OFF", "time": "2024-10-03 18:57:52"}
2024-10-03 18:57:52.976 INFO Bridge: on_bypass False zone=None
2024-10-03 18:57:53.010 INFO Bridge: Publish 'alarm/panel/bypass' = {"status": "OFF", "time": "2024-10-03 18:57:53"}
2024-10-03 18:57:53.013 INFO Bridge: Publish 'alarm/panel/battery' = {"status": 100, "time": "2024-10-03 18:57:53"}
2024-10-03 18:57:53.014 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 18:57:53"}
2024-10-03 18:57:53.015 INFO Bridge: Publish 'alarm/panel/state' = {"status": "disarmed", "attr": {"ac_power_on": true, "alarm_event_occurred": false, "backlight_on": false, "battery_low": false, "check_zone": false, "chime_on": false, "entry_delay_off": false, "programming_mode": false, "ready": true, "zone_bypassed": false}, "last_alarm_zone": "", "time": "2024-10-03 18:57:53"}
2024-10-03 18:58:02.718 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 18:58:02"}
2024-10-03 18:58:12.614 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 18:58:12"}
2024-10-03 18:58:22.645 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 18:58:22"}
2024-10-03 18:58:32.475 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 18:58:32"}
2024-10-03 18:58:42.311 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 18:58:42"}
2024-10-03 18:58:52.214 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 18:58:52"}
2024-10-03 18:59:02.111 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 18:59:02"}
2024-10-03 18:59:12.009 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 18:59:12"}
2024-10-03 18:59:21.935 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 18:59:21"}
2024-10-03 18:59:31.806 INFO Bridge: Publish 'alarm/panel/message' = {"status": "KOVAC'S SECURITY  Ready to Arm", "time": "2024-10-03 18:59:31"}
